"","state_fips","state","state_name"
"1","28","MS","Mississippi"
"2","37","NC","North Carolina"
"3","40","OK","Oklahoma"
"4","51","VA","Virginia"
"5","54","WV","West Virginia"
"6","22","LA","Louisiana"
"7","26","MI","Michigan"
"8","25","MA","Massachusetts"
"9","16","ID","Idaho"
"10","12","FL","Florida"
"11","31","NE","Nebraska"
"12","53","WA","Washington"
"13","35","NM","New Mexico"
"14","46","SD","South Dakota"
"15","48","TX","Texas"
"16","06","CA","California"
"17","01","AL","Alabama"
"18","13","GA","Georgia"
"19","42","PA","Pennsylvania"
"20","29","MO","Missouri"
"21","08","CO","Colorado"
"22","49","UT","Utah"
"23","47","TN","Tennessee"
"24","56","WY","Wyoming"
"25","36","NY","New York"
"26","20","KS","Kansas"
"27","02","AK","Alaska"
"28","32","NV","Nevada"
"29","17","IL","Illinois"
"30","50","VT","Vermont"
"31","30","MT","Montana"
"32","19","IA","Iowa"
"33","45","SC","South Carolina"
"34","33","NH","New Hampshire"
"35","04","AZ","Arizona"
"36","11","DC","District of Columbia"
"37","34","NJ","New Jersey"
"38","24","MD","Maryland"
"39","23","ME","Maine"
"40","15","HI","Hawaii"
"41","10","DE","Delaware"
"42","44","RI","Rhode Island"
"43","21","KY","Kentucky"
"44","39","OH","Ohio"
"45","55","WI","Wisconsin"
"46","41","OR","Oregon"
"47","38","ND","North Dakota"
"48","05","AR","Arkansas"
"49","18","IN","Indiana"
"50","27","MN","Minnesota"
"51","09","CT","Connecticut"
