state,repvote_16,census_region,pol_south,bea_region
AL,0.643741436,South,South,Southeast
AK,0.583856547,West,Nonsouth,Far West
AZ,0.518900234,West,Nonsouth,Southwest
AR,0.642851377,South,South,Southeast
CA,0.338717892,West,Nonsouth,Far West
CO,0.473166666,West,Nonsouth,Rocky Mountain
CT,0.428584525,Northeast,Nonsouth,New England
DC,,South,Nonsouth,Mideast
DE,0.440013786,South,Nonsouth,Mideast
FL,0.506188355,South,South,Southeast
GA,0.526611726,South,South,Southeast
HI,0.325586625,West,Nonsouth,Far West
ID,0.683101767,West,Nonsouth,Rocky Mountain
IL,0.409799486,North Central,Nonsouth,Great Lakes
IN,0.601173095,North Central,Nonsouth,Great Lakes
IA,0.550635478,North Central,Nonsouth,Plains
KS,0.611114703,North Central,Nonsouth,Plains
KY,0.65670629,South,Nonsouth,Southeast
LA,0.601716772,South,South,Southeast
ME,0.484032089,Northeast,Nonsouth,New England
MD,0.359837503,South,Nonsouth,Mideast
MA,0.353487213,Northeast,Nonsouth,New England
MI,0.501176682,North Central,Nonsouth,Great Lakes
MN,0.491681431,North Central,Nonsouth,Plains
MS,0.590898473,South,South,Southeast
MO,0.59818561,North Central,Nonsouth,Plains
MT,0.611096643,West,Nonsouth,Rocky Mountain
NE,0.635476741,North Central,Nonsouth,Plains
NV,0.487062906,West,Nonsouth,Far West
NH,0.498029716,Northeast,Nonsouth,New England
NJ,0.427158099,Northeast,Nonsouth,Mideast
NM,0.453492051,West,Nonsouth,Southwest
NY,0.382275815,Northeast,Nonsouth,Mideast
NC,0.519037458,South,South,Southeast
ND,0.698092429,North Central,Nonsouth,Plains
OH,0.542676846,North Central,Nonsouth,Great Lakes
OK,0.693047372,South,Nonsouth,Southwest
OR,0.438441611,West,Nonsouth,Far West
PA,0.503755358,Northeast,Nonsouth,Mideast
RI,0.416892959,Northeast,Nonsouth,New England
SC,0.574602564,South,South,Southeast
SD,0.659718581,North Central,Nonsouth,Plains
TN,0.63624343,South,South,Southeast
TX,0.547132256,South,South,Southwest
UT,0.623836582,West,Nonsouth,Rocky Mountain
VT,0.348135737,Northeast,Nonsouth,New England
VA,0.471736237,South,South,Southeast
WA,0.412130688,West,Nonsouth,Far West
WV,0.721610523,South,Nonsouth,Southeast
WI,0.50407989,North Central,Nonsouth,Great Lakes
WY,0.757053196,West,Nonsouth,Rocky Mountain
