"year","gender","age","race","pol_south","ideology","party","family_income","job","education","religion","vote","fips","weight1","weight2","weight3"
1948,1,0,1,0,0,0,3,0,0,1,1,0,"1","1","1"
1948,2,0,1,0,0,0,5,0,0,1,2,0,"1","1","1"
1948,2,0,1,0,0,0,4,0,0,2,1,0,"1","1","1"
1948,2,0,1,0,0,0,5,0,0,1,2,0,"1","1","1"
1948,1,0,1,0,0,0,4,0,0,2,1,0,"1","1","1"
1948,2,0,1,0,0,0,5,0,0,1,2,0,"1","1","1"
1948,1,0,1,0,0,0,4,0,0,1,2,0,"1","1","1"
1948,2,0,1,0,0,0,1,0,0,1,1,0,"1","1","1"
1948,1,0,1,0,0,0,4,0,0,1,2,0,"1","1","1"
1948,1,0,1,0,0,0,4,0,0,2,1,0,"1","1","1"
1948,1,0,2,0,0,0,3,0,0,1,0,0,"1","1","1"
1948,1,0,1,0,0,0,3,0,0,1,2,0,"1","1","1"
1948,2,0,1,0,0,0,4,0,0,1,2,0,"1","1","1"
1948,2,0,1,0,0,0,5,0,0,1,1,0,"1","1","1"
1948,2,0,1,0,0,0,1,0,0,1,2,0,"1","1","1"
1948,1,0,1,0,0,0,5,0,0,1,2,0,"1","1","1"
1948,2,0,1,0,0,0,4,0,0,2,2,0,"1","1","1"
1948,2,0,1,0,0,0,3,0,0,1,1,0,"1","1","1"
1948,1,0,1,0,0,0,0,0,0,1,2,0,"1","1","1"
1948,1,0,1,0,0,0,2,0,0,2,1,0,"1","1","1"
1948,2,0,1,0,0,0,2,0,0,1,1,0,"1","1","1"
1948,1,0,1,0,0,0,2,0,0,1,1,0,"1","1","1"
1948,1,0,1,0,0,0,4,0,0,1,2,0,"1","1","1"
1948,1,0,1,0,0,0,5,0,0,1,1,0,"1","1","1"
1948,2,0,1,0,0,0,5,0,0,1,2,0,"1","1","1"
1948,2,0,1,0,0,0,4,0,0,2,2,0,"1","1","1"
1948,2,0,1,0,0,0,4,0,0,2,1,0,"1","1","1"
