year,state,year,state,lean_current,dem_share,lean_prev,rdi_yr_to_election,rdi_election_year_change,inc_midterm_change,inc_has_house,inc_tenure,gdp_yoy,inflation_yoy,unemployment,inc_pres,state_pop,state_evs,inc_party_cand_approval,inc_pres_approval,inc_party,inc_candidate,noninc_candidate,rosenstone_inc_new_deal,rosenstone_inc_race,rosenstone_noninc_new_deal,rosenstone_noninc_race,spliced_BPHI_inc,spliced_BPHI_noninc,inc_nom_dim1,inc_nom_dim2,noninc_nom_dim1,noninc_nom_dim2,inc_share,inc_lean_current,inc_hlean_prev,inc_hlean_prev2,inc_hlean_prev3,inc_hlean_prev4,inc_hshare_prev,inc_hshare_prev2,inc_hshare_prev3,inc_hshare_prev4,inc_lean_prev,inc_lean_prev2,inc_lean_prev3,inc_lean_prev4,inc_lean_trend,inc_evs,spliced_diff_natl,inc_home_state,noninc_home_state,inc_vp_home_state,noninc_vp_home_state,inc_south_bonus,noninc_south_bonus,state_liberalism,rstone_state_ndsw,rstone_state_race,state_nom_dim1,state_nom_dim2,state_citizen_nom,berry_citizen,berry_gov,inc_cfscore,noninc_cfscore,mean_cfscore_adj,mean_cfscore_unweighted,mean_cfscore_adj_smooth,mean_cfscore_smooth,mean_cfscore,nom_dim1_inc_minus_noninc,nom_dim2_inc_minus_noninc,nom_norm_inc_minus_noninc,inc_minus_noninc_rstone_ndsw,inc_minus_noninc_rstone_race,berry_inc_minus_noninc_citizen,berry_inc_minus_noninc_nom,rstone_race_continuous,splice_inc_minus_noninc,inc_minus_noninc_dime
1948,AL,1948,AL,,,-0.27931,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2969,11,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,,,0.48085036,0.383257317,0.518809279,0.413470719,0.921442748,0.921442748,0.921442748,0.921442748,0.27931,0.30598,0.24616,0.26557,0.03315,0,0.47993717,0,0,0,0,0,0,36.53275596,1.998423123,1.875586194,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,AK,1948,AK,,,,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,,0,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,,,,,,,,,,,,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,
1948,AZ,1948,AZ,-0.02737,0.55106799,-0.05204,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,690,4,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.55106799,0.02737,0.226466148,0.180818084,0.255291359,0.179898787,0.667058536,0.667058536,0.667058536,0.667058536,0.05204,0.0881,0.09719,0.09556,-0.04515,4,0.47993717,0,0,0,0,0,0,41.44121758,-0.305724506,1.701893431,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,AR,1948,AR,-0.22229,0.745989891,-0.16322,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1825,9,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.745989891,0.22229,0.539673322,0.405591274,0.524273108,0.427385729,0.98026571,0.98026571,0.98026571,0.98026571,0.16322,0.24017,0.19625,0.27797,-0.03303,9,0.47993717,0,0,0,0,0,0,26.57342581,1.582921091,1.701893431,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,CA,1948,CA,0.02135,0.502345471,-0.03017,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,10064,25,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.502345471,-0.02135,0.011772855,-0.005538081,0.033076841,0.03997868,0.452365243,0.452365243,0.452365243,0.452365243,0.03017,0.03148,0.05414,0.01814,-0.02397,25,0.47993717,0,0,0,1,0,0,67.93340867,-1.098955657,-0.729805252,,,,,,,,,,,,,,,,,,0,0,-0.514436478,,
1948,CO,1948,CO,-0.00349,0.527193187,0.07193,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1263,6,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.527193187,0.00349,0.000739008,-0.090952314,-0.060189093,0.015173622,0.441331396,0.441331396,0.441331396,0.441331396,-0.07193,-0.06286,-0.00514,-0.02195,-0.06679,6,0.47993717,0,0,0,0,0,0,60.47838069,-1.061182745,-1.042452226,,,,,,,,,,,,,,,,,,0,0,-1.139730425,,
1948,CT,1948,CT,0.03209,0.491605027,0.01072,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2014,8,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.491605027,-0.03209,-0.0170591,-0.002146229,0.000704948,-0.004478258,0.423533288,0.423533288,0.423533288,0.423533288,-0.01072,-0.0142,-0.04629,-0.09744,0.03557,0,0.47993717,0,0,0,0,0,0,63.70265291,0.034231701,-0.312942621,,,,,,,,,,,,,,,,,,0,0,0.319288785,,
1948,DC,1948,DC,,,,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,840,0,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,,,,,,,,,,,,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,
1948,DE,1948,DE,0.03016,0.493540804,-0.00797,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,312,3,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.493540804,-0.03016,-0.00447011,-0.013176957,-0.014795106,-0.016906268,0.436122277,0.436122277,0.436122277,0.436122277,0.00797,-0.00164,-0.07546,-0.10385,0.08343,0,0.47993717,0,0,0,0,0,0,28.84534779,0.751917028,0.520782642,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,FL,1948,FL,-0.06838,0.59207841,-0.1655,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2578,8,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.59207841,0.06838,0.368562011,0.481651523,0.406282549,0.330605761,0.809154399,0.809154399,0.809154399,0.809154399,0.1655,0.19014,0.13642,0.15742,0.02908,8,0.47993717,0,0,0,0,0,0,27.98715557,0.751917028,0.6249983,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,GA,1948,GA,-0.24484,0.768540791,-0.27974,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3259,12,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.768540791,0.24484,0.559407612,0.481651523,0.524273108,,1,1,1,1,0.27974,0.3012,0.24906,0.3303,0.03068,12,0.47993717,0,0,0,0,0,0,24.46795686,1.847331475,1.597677773,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,HI,1948,HI,,,,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,,0,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,,,,,,,,,,,,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,
