year,state,year,state,lean_current,dem_share,lean_prev,total_votes_two_party,total_votes,rdi_yr_to_election,rdi_election_year_change,inc_midterm_change,inc_has_house,inc_tenure,gdp_yoy,inflation_yoy,unemployment,inc_pres,state_pop,state_evs,inc_party_cand_approval,inc_pres_approval,hlean_prev,hlean_prev2,hlean_prev3,hlean_prev4,dem_hshare_prev,dem_hshare_prev2,dem_hshare_prev3,dem_hshare_prev4,lean_prev2,lean_prev3,lean_prev4,lean_trend,inc_party,inc_candidate,noninc_candidate,rosenstone_dem_new_deal,rosenstone_dem_race,spliced_BPHI_dem,dem_nom_dim1,dem_nom_dim2,dem_lean_current,rosenstone_gop_new_deal,rosenstone_gop_race,spliced_BPHI_gop,gop_nom_dim1,gop_nom_dim2,gop_share,gop_lean_current,dem_evs,spliced_diff_natl_dem_minus_gop,inc_home_state,noninc_home_state,inc_vp_home_state,noninc_vp_home_state,inc_south_bonus,noninc_south_bonus,state_liberalism,rstone_state_ndsw,rstone_state_race,state_nom_dim1,state_nom_dim2,state_citizen_nom,berry_citizen,berry_gov,dem_cfscore,gop_cfscore,mean_cfscore_adj,mean_cfscore_unweighted,mean_cfscore_adj_smooth,mean_cfscore_smooth,mean_cfscore
1948,AL,1948,AL,,,-0.27931,212373,386193,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2969,11,69,69,-0.48085036,-0.383257317,-0.518809279,-0.413470719,0.921442748,0.921442748,0.921442748,0.921442748,-0.30598,-0.24616,-0.26557,-0.03315,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,,0.605250911,0.108064006,0.57784493,,,,,0,0.47993717,0,0,0,0,0,0,-0.700411682,0.8,1.7,,,,,,,,,,,,
1948,AK,1948,AK,,,,,,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,,0,69,69,,,,,,,,,,,,,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,,0.605250911,0.108064006,0.57784493,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,
1948,AZ,1948,AZ,-0.02737,0.55106799,-0.05204,172848,177065,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,690,4,69,69,-0.226466148,-0.180818084,-0.255291359,-0.179898787,0.667058536,0.667058536,0.667058536,0.667058536,-0.0881,-0.09719,-0.09556,0.04515,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.02737,0.605250911,0.108064006,0.57784493,,,0.44893201,-0.02737,4,0.47993717,0,0,0,0,0,0,-0.416311366,6.9,2.2,,,,,,,,,,,,
1948,AR,1948,AR,-0.22229,0.745989891,-0.16322,200618,242475,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1825,9,69,69,-0.539673322,-0.405591274,-0.524273108,-0.427385729,0.98026571,0.98026571,0.98026571,0.98026571,-0.24017,-0.19625,-0.27797,0.03303,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.22229,0.605250911,0.108064006,0.57784493,,,0.254010109,-0.22229,9,0.47993717,0,0,0,0,0,0,-1.276854785,1.9,2.2,,,,,,,,,,,,
1948,CA,1948,CA,0.02135,0.502345471,-0.03017,3808403,4021538,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,10064,25,69,69,-0.011772855,0.005538081,-0.033076841,-0.03997868,0.452365243,0.452365243,0.452365243,0.452365243,-0.03148,-0.05414,-0.01814,0.02397,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.02135,0.605250911,0.108064006,0.57784493,,,0.497654529,0.02135,25,0.47993717,0,0,0,1,0,0,1.11704887,9,9.2,,,,,,,,,,,,
1948,CO,1948,CO,-0.00349,0.527193187,0.07193,507002,515237,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1263,6,69,69,-0.000739008,0.090952314,0.060189093,-0.015173622,0.441331396,0.441331396,0.441331396,0.441331396,0.06286,0.00514,0.02195,0.06679,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.00349,0.605250911,0.108064006,0.57784493,,,0.472806813,-0.00349,6,0.47993717,0,0,0,0,0,0,0.685554041,8.9,10.1,,,,,,,,,,,,
1948,CT,1948,CT,0.03209,0.491605027,0.01072,861051,883518,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2014,8,69,69,0.0170591,0.002146229,-0.000704948,0.004478258,0.423533288,0.423533288,0.423533288,0.423533288,0.0142,0.04629,0.09744,-0.03557,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.03209,0.605250911,0.108064006,0.57784493,,,0.508394973,0.03209,0,0.47993717,0,0,0,0,0,0,0.87217397,6,8,,,,,,,,,,,,
1948,DC,1948,DC,,,,,,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,840,0,69,69,,,,,,,,,,,,,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,,0.605250911,0.108064006,0.57784493,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,
1948,DE,1948,DE,0.03016,0.493540804,-0.00797,137401,139073,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,312,3,69,69,0.00447011,0.013176957,0.014795106,0.016906268,0.436122277,0.436122277,0.436122277,0.436122277,0.00164,0.07546,0.10385,-0.08343,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.03016,0.605250911,0.108064006,0.57784493,,,0.506459196,0.03016,0,0.47993717,0,0,0,0,0,0,-1.145356608,4.1,5.6,,,,,,,,,,,,
1948,FL,1948,FL,-0.06838,0.59207841,-0.1655,476268,577643,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2578,8,69,69,-0.368562011,-0.481651523,-0.406282549,-0.330605761,0.809154399,0.809154399,0.809154399,0.809154399,-0.19014,-0.13642,-0.15742,-0.02908,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.06838,0.605250911,0.108064006,0.57784493,,,0.40792159,-0.06838,8,0.47993717,0,0,0,0,0,0,-1.195028521,4.1,5.3,,,,,,,,,,,,
