year,fips,GIS Join Match Code,NHGIS Integrated State Name,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Total,Persons: Urban,Persons: Urban--Inside urbanized areas,Persons: Urban--Outside urbanized areas (in urban clusters),Persons: Rural,Persons: Male,Persons: Female,Persons: Under 5 years,Persons: 5 to 9 years,Persons: 10 to 14 years,Persons: 15 to 17 years,Persons: 18 and 19 years,Persons: 20 years,Persons: 21 years,Persons: 22 to 24 years,Persons: 25 to 29 years,Persons: 30 to 34 years,Persons: 35 to 44 years,Persons: 45 to 54 years,Persons: 55 to 59 years,Persons: 60 and 61 years,Persons: 62 to 64 years,Persons: 65 to 74 years,Persons: 75 to 84 years,Persons: 85 years and over,Persons: 18-24,Persons: 25-34,Persons: 35-44,Persons: 45-54,Persons: 55-64,Persons: 65+,Persons: White (single race),Persons: Black or African American (single race),Persons: American Indian and Alaska Native (single race),Persons: Asian and Pacific Islander and Other Race (single race),Persons: Two or More Races,Persons: Asian and Pacific Islander and Other and Two or More Races,Total Race,Persons: 25 years and over ~ Less than 9th grade,Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),"Families: Income less than $10,000","Families: Income $10,000 to $14,999","Families: Income $15,000 to $24,999","Families: Income $25,000 to $49,999","Families: Income $50,000 or more",approx avg income,estimated sd,dem_vote,gop_vote,lean_prev,lean_prev2,dem_vote_lean_prev2,gop_vote_lean_prev2,hlean_prev2,hlean_prev
1948,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27931,-0.30598,0.80598,0.19402,-0.383257317,-0.48085036
1948,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55106799,0.44893201,-0.05204,-0.0881,0.5881,0.4119,-0.180818084,-0.226466148
1948,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745989891,0.254010109,-0.16322,-0.24017,0.74017,0.25983,-0.405591274,-0.539673322
1948,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502345471,0.497654529,-0.03017,-0.03148,0.53148,0.46852,0.005538081,-0.011772855
1948,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527193187,0.472806813,0.07193,0.06286,0.43714,0.56286,0.090952314,-0.000739008
1948,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491605027,0.508394973,0.01072,0.0142,0.4858,0.5142,0.002146229,0.0170591
1948,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.493540804,0.506459196,-0.00797,0.00164,0.49836,0.50164,0.013176957,0.00447011
1948,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,0.5,,
1948,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59207841,0.40792159,-0.1655,-0.19014,0.69014,0.30986,-0.481651523,-0.368562011
1948,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.768540791,0.231459209,-0.27974,-0.3012,0.8012,0.1988,-0.481651523,-0.559407612
1948,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,0.5,,
1948,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514017349,0.485982651,0.02024,0.00459,0.49541,0.50459,0.003496843,0.00566778
1948,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504248426,0.495751574,0.0203,0.03777,0.46223,0.53777,-0.006469047,-0.005961047
1948,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495934096,0.504065904,0.06625,0.05716,0.44284,0.55716,0.050555365,-0.007255439
1948,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513952212,0.486047788,0.06037,0.07211,0.42789,0.57211,0.086046435,0.05609914
1948,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454101667,0.545898333,0.14372,0.12287,0.37713,0.62287,0.148207831,0.036136435
1948,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577692626,0.422307374,-0.00858,-0.02588,0.52588,0.47412,-0.028151626,-0.072988819
1948,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652360515,0.347639485,-0.26831,-0.30909,0.80909,0.19091,-0.481651523,-0.505925521
1948,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426915888,0.573084112,0.06274,0.06166,0.43834,0.56166,0.225302659,0.074066396
1948,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49286728,0.50713272,0.01922,-0.03792,0.53792,0.46208,-0.045719157,-0.081801254
1948,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558806263,0.441193737,0.00862,0.01607,0.48393,0.51607,0.048493375,-0.022623761
1948,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491394158,0.508605842,0.03261,0.05167,0.44833,0.55167,0.04123156,0.052222959
1948,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588964824,0.411035176,0.00979,0.03068,0.46932,0.53068,0.108717659,0.440592388
1948,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793548123,0.206451877,-0.39784,-0.40807,0.90807,0.09193,-0.448061662,-0.559407612
1948,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583402338,0.416597662,0.02299,0.0261,0.4739,0.5261,-0.00636363,-0.037261435
1948,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551660713,0.448339287,-0.00939,-0.04401,0.54401,0.45599,-0.085472667,-0.066488537
1948,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458472325,0.541527675,0.12354,0.12187,0.37813,0.62187,0.188287562,0.117376629
1948,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515944466,0.484055534,-0.00847,-0.05076,0.55076,0.44924,-0.112531915,0.029070959
1948,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47098921,0.52901079,0.01651,0.01779,0.48221,0.51779,0.043933155,0.060473661
1948,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477174156,0.522825844,0.03093,0.03176,0.46824,0.53176,0.052783827,0.03598435
1948,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567721931,0.432278069,0.00256,-0.01662,0.51662,0.48338,-0.036808497,-0.083831436
1948,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49457792,0.50542208,0.01258,0.03213,0.46787,0.53213,0.05001224,0.046821333
