,state,state_fips,weightz,voter_ideo,voter_resent,year,year_center,year_center_sq,decade,census_region,division,bea_region,masseconlib_est,masssociallib_est,rlean,rlean_rolling2,vote_pres,dem_ideo,gop_ideo,dem_resent,gop_resent,delta_dem_ideo,delta_gop_ideo,delta_dem_resent,delta_gop_resent,delta_dem_ideo_indiv,delta_gop_ideo_indiv,delta_dem_resent_indiv,delta_gop_resent_indiv,inc_pres,inc_tenure,gdp_yoy,inflation_yoy,unemployment,lean_current,lean_prev,lean_prev2,lean_prev3,lean_prev4,hlean_prev,hlean_prev2,hlean_prev3,hlean_prev4
7970,WV,54,1.0,,7.0,1972,-28,784,1970,South,South Atlantic,Southeast,0.34481484934536705,-0.4366451307848966,2.8999999999999986,0.14999999999999858,,,,7.0,7.0,,,3.748911920515244,2.184800800822008,,,0.0,0.0,1,4,0.0689,0.033,5.6,0.0182499999999999,-0.05287,-0.06476,-0.0264999999999999,-0.0367399999999999,-0.1090363861669025,-0.1096658167758127,-0.0176532760821727,-0.0140077144283505
7971,WV,54,1.0,,7.0,1972,-28,784,1970,South,South Atlantic,Southeast,0.34481484934536705,-0.4366451307848966,2.8999999999999986,0.14999999999999858,Republican,,,1.0,7.0,,,2.251088079484756,2.184800800822008,,,0.0,6.0,1,4,0.0689,0.033,5.6,0.0182499999999999,-0.05287,-0.06476,-0.0264999999999999,-0.0367399999999999,-0.1090363861669025,-0.1096658167758127,-0.0176532760821727,-0.0140077144283505
7972,SC,45,1.0,,,1972,-28,784,1970,South,South Atlantic,Southeast,0.19471594481651447,-0.19028881893626595,10.099999999999994,2.3999999999999915,,,,,,,,,,,,,,1,4,0.0689,0.033,5.6,0.0986799999999999,0.0585899999999999,0.2035599999999999,-0.0115499999999999,-0.22057,-0.1838713369407051,-0.0026077144331835,-0.1942207743774933,-0.3194190281323379
7973,IA,19,1.0,5.0,5.0,1972,-28,784,1970,Midwest,West North Central,Plains,-0.0527551287273141,-0.3765543410134127,-3.1000000000000014,3.25,Republican,2.0,5.0,2.0,5.0,0.7614107883817427,0.06160164271047197,0.8132671919383418,0.09614284113406324,3.0,0.0,0.0,3.0,1,4,0.0689,0.033,5.6,-0.03053,0.0609199999999999,-0.00546,0.0683199999999999,0.01481,0.044796502614695,0.0007823488744133,0.0358876990749373,0.023913059639953
7974,IL,17,1.0,4.0,4.0,1972,-28,784,1970,Midwest,East North Central,Great Lakes,0.1772702640608798,-0.014733525573417538,-1.7000000000000028,1.0,Republican,2.0,,,,0.9486803519061584,,,,2.0,,,,1,4,0.0689,0.033,5.6,-0.02483,0.01195,0.0198899999999999,-9.9999999999989e-05,0.01882,0.0253331429471359,0.0035438211888615,0.0552322834057283,0.0255424167173873
7975,IL,17,1.0,5.0,,1972,-28,784,1970,Midwest,East North Central,Great Lakes,0.1772702640608798,-0.014733525573417538,-1.7000000000000028,1.0,Democrat,3.0,4.0,,,0.0513196480938416,1.2162162162162158,,,2.0,1.0,,,1,4,0.0689,0.033,5.6,-0.02483,0.01195,0.0198899999999999,-9.9999999999989e-05,0.01882,0.0253331429471359,0.0035438211888615,0.0552322834057283,0.0255424167173873
7976,IL,17,1.0,6.0,6.0,1972,-28,784,1970,Midwest,East North Central,Great Lakes,0.1772702640608798,-0.014733525573417538,-1.7000000000000028,1.0,Republican,2.0,6.0,7.0,5.0,0.9486803519061584,0.7837837837837842,4.025284407655765,0.28706626049078654,4.0,0.0,1.0,1.0,1,4,0.0689,0.033,5.6,-0.02483,0.01195,0.0198899999999999,-9.9999999999989e-05,0.01882,0.0253331429471359,0.0035438211888615,0.0552322834057283,0.0255424167173873
7977,IL,17,1.0,,1.0,1972,-28,784,1970,Midwest,East North Central,Great Lakes,0.1772702640608798,-0.014733525573417538,-1.7000000000000028,1.0,Republican,,,1.0,4.0,,,1.9747155923442348,1.2870662604907865,,,3.0,0.0,1,4,0.0689,0.033,5.6,-0.02483,0.01195,0.0198899999999999,-9.9999999999989e-05,0.01882,0.0253331429471359,0.0035438211888615,0.0552322834057283,0.0255424167173873
7978,IL,17,1.0,,7.0,1972,-28,784,1970,Midwest,East North Central,Great Lakes,0.1772702640608798,-0.014733525573417538,-1.7000000000000028,1.0,Republican,,,,4.0,,,,1.2870662604907865,,,3.0,,1,4,0.0689,0.033,5.6,-0.02483,0.01195,0.0198899999999999,-9.9999999999989e-05,0.01882,0.0253331429471359,0.0035438211888615,0.0552322834057283,0.0255424167173873
7979,NC,37,1.0,4.0,7.0,1972,-28,784,1970,South,South Atlantic,Southeast,0.2600694319367261,-0.43324430833165295,8.799999999999997,2.4499999999999993,Republican,2.0,4.0,2.0,4.0,0.9691588785046727,1.0827906976744188,0.953783860371741,1.3122097350473352,2.0,0.0,3.0,5.0,1,4,0.0689,0.033,5.6,0.08843,0.07066,0.0531,-0.02026,-0.0841599999999999,-0.0114514389868958,-0.0002900987194692,-0.0161066371485505,-0.0336532881761356
