year,gop_inc_party_cand_approval,gop_poll,gop_inc_party_cand_approval,,inc_approval,inc_poll,diff
1972,62,0.62,0.62,,0.62,0.62,0
1976,53,0.505,0.53,,0.53,0.505,0.025
1980,66.65380479,0.516,0.666538048,,0.309861952,0.484,-0.174138048
1984,61,0.59,0.61,,0.61,0.61,0
1988,48.82690239,0.56,,,,,
1992,43,0.43,0.43,,,,0
1996,43.65380479,0.441,0.436538048,,0.539861952,0.559,-0.019138048
2000,48.82690239,0.511,,,,,
2004,53,0.5,0.53,,0.53,0.5,0.03
2008,48.82690239,0.442,,,,,
2012,46.65380479,0.495,0.466538048,,0.509861952,0.495,0.014861952
2016,48.82690239,0.477,,,,,
2020,43,0.463,0.43,,0.0043,0.463,-0.4587
